ID;Título;Resumen;Contenido;Periódico;Categoría;Región;URL;Fecha Extracción;Cantidad Imágenes
1791;Muere un hombre en la explosión de gas de un bar de Vallecas, con al menos 25 heridos;La Vanguardia Barcelona 13/09/2025 16:27 Actualizado a 14/09/2025 06:44 Un hombre de 52 años ha fallecido como consecuencia de la explosión registrada este sábado en un bar de Vallecas (Madrid), un su...;La Vanguardia Barcelona 13/09/2025 16:27 Actualizado a 14/09/2025 06:44 Un hombre de 52 años ha fallecido como consecuencia de la explosión registrada este sábado en un bar de Vallecas (Madrid), un suceso en el que han resultado heridas al menos 25 personas, tres de ellas en estado grave, ha informado esta madrugada el servicio de emergencias de la capital. Los bomberos del Ayuntamiento de Madrid han localizado a la persona fallecida en un sótano, bajo más de un metro de arena y escombro, en el ...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/sucesos/20250913/11056908/explosion-bar-puente-vallecas-madrid-heridos.html;2025-09-14T15:54:10.903403;0
1790;El delegado del Gobierno en Madrid asegura que la protesta ha sido pacífica y cifra en 100.000 los manifestantes;Agencias Madrid 14/09/2025 22:05 El delegado de Gobierno de Madrid, Francisco Martín, ha cifrado en 100.000 el número de manifestantes propalestinos que este domingo han paralizado La Vuelta ciclista ...;Agencias Madrid 14/09/2025 22:05 El delegado de Gobierno de Madrid, Francisco Martín, ha cifrado en 100.000 el número de manifestantes propalestinos que este domingo han paralizado La Vuelta ciclista en la capital en una movilización que ha tildado de “pacífica”. “El pueblo de Madrid ha enviado al mundo un inmenso mensaje de solidaridad, humanidad y empatía con el sufrimiento del pueblo palestino. Madrid ha hecho una gran llamada a la reacción de la comunidad internacional”, ha asegurado. El del...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/local/madrid/20250914/11059114/delegado-gobierno-madrid-asegura-protesta-sido-pacifica-cifra-100-000-manifestantes.html;2025-09-14T15:54:10.896158;1
1789;Olvídate del iPhone 17: por menos de 150 euros tienes el OPPO Reno12 F 4G, el smartphone low-cost que viene con IA avanzada;Carlos Domínguez 14/09/2025 17:55 Septiembre ha llegado con su mood particular: días más cortos, agendas llenas y la sensación de que el verano quedó atrás de repente, sin comerlo ni beberlo. Justo en...;Carlos Domínguez 14/09/2025 17:55 Septiembre ha llegado con su mood particular: días más cortos, agendas llenas y la sensación de que el verano quedó atrás de repente, sin comerlo ni beberlo. Justo en momentos como el actual, pensar en estrenar un smartphone puede generar dudas: no quieres gastar una fortuna después de haberte dejado el dinero en viajes y planes veraniegos, pero tampoco quieres renunciar a un dispositivo que funcione de verdad y te acompañe en tu día a día. La clave está en eleg...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/comprar/rebajas-ofertas/20250914/11053754/olvidate-iphone-17-150-euros-tienes-oppo-reno12-f-4g-smartphone-low-cost-viene-ia-avanzada.html;2025-09-14T15:54:10.873484;1
1788;De las setas como piñas a la bicicleta esquelética;Narcís Serrat, Joan Soldevila Adán, Teresa Fortuny, Alberto Maluquer, Miquel Galceran, Jordi Marquillas, Susi Chinchilla, Joel Bares, Feliciano Iglesias, María Balado Barcelona 14/09/2025 05:15 * Los ...;Narcís Serrat, Joan Soldevila Adán, Teresa Fortuny, Alberto Maluquer, Miquel Galceran, Jordi Marquillas, Susi Chinchilla, Joel Bares, Feliciano Iglesias, María Balado Barcelona 14/09/2025 05:15 * Los autores forman parte de la comunidad de lectores de La Vanguardia De las setas como piñas a la bicicleta esquelética... En Las Fotos de los Lectores de La Vanguardia podemos ver un resumen de diez imágenes curiosas, de quejas o con mensaje recogidas esta semana en El Buzón del Lector. 1. Narcís Serr...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/participacion/las-fotos-de-los-lectores/20250914/11053165/setas-pinas-bicicleta-esqueletica.html;2025-09-14T15:54:10.866700;1
1787;Lola Índigo anuncia un parón musical: “Estoy agotada mentalmente, es el sueño de mi vida, pero para estar aquí necesito un break”;Manuel López Chicano 14/09/2025 08:51 Los artistas sufren una presión bastante constante para mantenerse en la cima durante el tiempo que dura su carrera. Son unos privilegiados que han cumplido su su...;Manuel López Chicano 14/09/2025 08:51 Los artistas sufren una presión bastante constante para mantenerse en la cima durante el tiempo que dura su carrera. Son unos privilegiados que han cumplido su sueño, pero a la vez puede acabar convirtiéndose en una losa muy grande. Por eso, y con el aumento por la preocupación por la salud mental, muchos no dudan en tomarse un respiro y parar cuando lo ven necesario. Es algo que se ve especialmente en el ámbito de la música. El anuncio de Lola Índigo en su ...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/gente/20250914/11057760/lola-indigo-anuncia-paron-musical-agotada-mentalmente-sueno-mi-vida-necesito-break-pmv.html;2025-09-14T15:54:10.821570;1
1786;Adidas 'regala' sus zapatillas con descuentos de hasta el 50%: calidad y comodidad con precios por debajo de los 42 euros;Andrea Vázquez 14/09/2025 19:55 Las zapatillas deportivas son un calzado necesario en tu vida, vayas al gym, hagas ejercicio al aire libre o simplemente para el día a día: para ir a trabajar, a hacer ...;Andrea Vázquez 14/09/2025 19:55 Las zapatillas deportivas son un calzado necesario en tu vida, vayas al gym, hagas ejercicio al aire libre o simplemente para el día a día: para ir a trabajar, a hacer los recados. Suele ser un calzado cómodo que combina con casi todo y que te ayudará a aguantar con más dignidad las largas jornadas de quehaceres que vamos a tener a partir de ya. Si tienes que renovar zapatos, he encontrado verdaderas gangas de adidas en Amazon. Te he hecho una pequeña, pero muy bu...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/comprar/moda-belleza/20250914/11053521/adidas-regala-zapatillas-descuentos-50-calidad-comodidad-precios-debajo-42-euros-mkt-adid.html;2025-09-14T15:54:10.805236;1
1785;La ignorancia es poder;14/09/2025 00:30 Escribe Peter Burke, catedrático de Historia Cultural de la Universidad de Cambridge, que los estudios sobre la ignorancia han ido cobrando impulso en los últimos treinta años. Pero e...;14/09/2025 00:30 Escribe Peter Burke, catedrático de Historia Cultural de la Universidad de Cambridge, que los estudios sobre la ignorancia han ido cobrando impulso en los últimos treinta años. Pero en el mundo actual, los ignorantes se están apoderando de la Tierra. Ya a finales del siglo XIX, el neurólogo estado­unidense George Beard intuyó que la ignorancia es poder, aunque nunca pudo pensar que tantos ignorantes llegarían a lo más alto. Unas pocas décadas después, Henry Ford afirmaba que bus...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/opinion/20250914/11056856/ignorancia.html;2025-09-14T15:54:10.780876;0
1784;Feijóo acusa al Gobierno de haber “inducido” el “ridículo” del boicot a La Vuelta a España;Javier Gallego Madrid 14/09/2025 19:44 Alberto Núñez Feijóo ha salido de inmediato a responsabilizar a Pedro Sánchez y al Gobierno de alentar las protestas propalestinas que han boicoteado La Vuelta a...;Javier Gallego Madrid 14/09/2025 19:44 Alberto Núñez Feijóo ha salido de inmediato a responsabilizar a Pedro Sánchez y al Gobierno de alentar las protestas propalestinas que han boicoteado La Vuelta a España y han obligado a anular la última etapa que concluía en el centro de Madrid. “El Gobierno ha permitido e inducido la no finalización de La Vuelta y, de ese modo, un ridículo internacional televisado en todo el mundo”, ha expuesto Feijóo en una carta publicada en las redes sociales. Sánchez, ...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/politica/20250914/11058934/feijoo-acusa-gobierno-haber-inducido-ridiculo-boicot-vuelta-espana.html;2025-09-14T15:54:10.716126;1
1783;Incómodo, tergiversado y contemporáneo: 125 años de la muerte de Nietzsche;María-Paz López Weimar. Corresponsal 14/09/2025 06:00 Actualizado a 14/09/2025 06:21 El conjunto del legado escrito y documental de Friedrich Nietzsche, filósofo alemán tan fundamental para la histori...;María-Paz López Weimar. Corresponsal 14/09/2025 06:00 Actualizado a 14/09/2025 06:21 El conjunto del legado escrito y documental de Friedrich Nietzsche, filósofo alemán tan fundamental para la historia del pensamiento como tergiversado en sus ideas e incómodo en muchos de sus postulados, ha ingresado en el registro Memoria del Mundo de la Unesco, que protege el patrimonio documental de la humanidad. La inscripción se ha producido en plena efeméride. Acaban de cumplirse 125 años de su muerte en W...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/cultura/20250914/11057288/incomodo-tergiversado-contemporaneo-125-anos-muerte-nietzsche.html;2025-09-14T15:54:10.683867;1
1782;Barcelona - Valencia | LaLiga: resultado y resumen del partido de fútbol de hoy;Gemma Martos 14/09/2025 19:27 Actualizado a 14/09/2025 22:52 Actualizar narración 22:52 🔴 FINAL | BARCELONA 6 - VALENCIA 2 DE LALIGA EA SPORTS 22:51 Minuto 90 (+2) - Dos minutos de añadido a este Barc...;Gemma Martos 14/09/2025 19:27 Actualizado a 14/09/2025 22:52 Actualizar narración 22:52 🔴 FINAL | BARCELONA 6 - VALENCIA 2 DE LALIGA EA SPORTS 22:51 Minuto 90 (+2) - Dos minutos de añadido a este Barcelona 6 - Valencia 0 22:47 ⚽ Minuto 85 - ¡EL VAR le da el gol a Lewandowski! No era fuera de juego del polaco. 6-0 22:46 ❌ Minuto 85 - Gol anulado por fuera de juego al Barcelona 22:43 🔁 Minuto 81 - Cambio en el Barcelona | Se marcha Pedri y vuelve Marc Bernal 22:41 Minuto 80 - Entramos en los últim...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/deportes/futbol/20250914/11058078/fc-barcelona-valencia-jornada-4-la-liga-df-futbol-partido-hoy-en-directo.html;2025-09-14T15:54:10.675131;1
